CalendarYear,Licences,Days,Tonnes
1990,660,24868,986.3
1991,607,23219,"1,112.42"
1992,573,25526,"1,295.75"
1993,633,30399,"1,354.45"
1994,622,30627,"1,579.81"
1995,637,32000,"2,093.06"
1996,730,37284,"2,811.53"
1997,855,44352,"4,144.04"
1998,845,43693,"5,334.08"
1999,880,41155,"5,345.94"
2000,826,39670,"5,172.43"
2001,813,48882,"6,260.03"
2002,925,52983,"6,049.43"
2003,861,46316,"5,454.27"
2004,829,31326,"3,291.66"
2005,716,25857,"2,874.92"
2006,614,23142,"2,537.7"
2007,555,24036,"2,693.84"
2008,560,23726,"3,038.16"
2009,545,24288,"3,117.32"
2010,493,21950,"2,668.33"
2011,521,19809,"2,298.5"
2012,500,18840,"2,176.33"
2013,488,17851,"2,314.85"
2014,491,18871,"2,321.86"
2015,494,19569,"2,147.93"
2016,532,19592,"2,309.98"
2017,516,17979,"2,282.61"
2018,465,16524,"2,086.19"
2019,424,16301,"1,980.54"
2020,429,14331,"1,807.95"
2021,485,14477,"1,922.28"
2022,547,12906,"1,578.03"
2023,515,13252,"1,669.35"
2024 incomplete,472,7891,927.89
Grand Total,1923,923492,"97,039.76"
